,num_dol,num_etfe,num_tfsi,num_ps,num_li,atoms_dol,atoms_etfe,atoms_tfsi,atoms_ps,atoms_li,count,%
236,5,1,2,1,2,1O:1O:1O:1O:2O,,:1O1S,,1L:1L,2,0.06000600060006
237,5,0,2,1,2,:1O:1O:1O:1O,,1O1S:1O1S,,1L:1L,2,0.06000600060006
238,5,0,2,1,2,:1O:1O:1O:1O,,1O1S:3O2S,,1L:1L,2,0.06000600060006
239,6,0,2,1,2,:1O:1O:1O:1O:2O,,1O:2O1S,,1L:1L,2,0.06000600060006
240,5,0,3,1,2,1O:1O:1O:1O:1O,,1O:1O:2O1S,,1L:1L,2,0.06000600060006
241,6,0,2,1,2,:1O:1O:1O:2O:2O,,1O:2O1S,,1L:1L,2,0.06000600060006
242,6,0,1,1,1,::1O:1O:1O:2O,,1O1S,,1L,2,0.06000600060006
243,6,0,1,1,1,::1O:1O:1O:2O,,2O2S,,1L,2,0.06000600060006
244,6,0,2,1,2,::1O:1O:1O:1O,,1N3O2S:1O,,1L:1L,2,0.06000600060006
245,6,0,1,1,1,::1O:1O:1O:2O,,2O,,1L,2,0.06000600060006
246,3,0,2,2,2,1O:1O:1O,,1O:1O1S,2S:2S:3S:3S:3S:4S:4S:4S,1L:1L,2,0.06000600060006
247,6,0,2,1,2,:1O:1O:1O:1O:2O,,1O:2O,,1L:1L,2,0.06000600060006
248,7,0,1,1,2,::1O:1O:1O:2O:2O,,2O1S,,1L:1L,2,0.06000600060006
249,4,0,1,1,2,1O:1O:1O:2O,,1N3O2S,,1L:1L,2,0.06000600060006
250,5,0,2,1,2,:1O:1O:1O:1O,,1N3O2S:1O1S,,1L:1L,2,0.06000600060006
251,6,0,2,1,2,:1O:1O:1O:1O:1O,,:2O1S,,1L:1L,2,0.06000600060006
252,4,0,2,2,2,1O:1O:1O:2O,,1O:1O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,2,0.06000600060006
253,4,0,1,2,2,1O:1O:1O:1O,,,1S:2S:2S:3S:3S:3S:3S:4S,1L:1L,2,0.06000600060006
